Gemeente,Aantal,id,Datum
Middelburg,,687,2020-02-27
Reimerswaal,,703,2020-02-27
Terneuzen,,715,2020-02-27
Tholen,,716,2020-02-27
Veere,,717,2020-02-27
Vlissingen,,718,2020-02-27
De Ronde Venen,,736,2020-02-27
Tytsjerksteradiel,,737,2020-02-27
Asten,,743,2020-02-27
Baarle-Nassau,,744,2020-02-27
Bergen op Zoom,,748,2020-02-27
Best,,753,2020-02-27
Boekel,,755,2020-02-27
Boxmeer,,756,2020-02-27
Boxtel,,757,2020-02-27
Breda,,758,2020-02-27
Deurne,,762,2020-02-27
Pekela,,765,2020-02-27
Dongen,,766,2020-02-27
Eersel,,770,2020-02-27
Eindhoven,,772,2020-02-27
Etten-Leur,,777,2020-02-27
Geertruidenberg,,779,2020-02-27
Gilze en Rijen,,784,2020-02-27
Goirle,,785,2020-02-27
Grave,,786,2020-02-27
Haaren,,788,2020-02-27
Helmond,,794,2020-02-27
's-Hertogenbosch,,796,2020-02-27
Heusden,,797,2020-02-27
Hilvarenbeek,,798,2020-02-27
Loon op Zand,,809,2020-02-27
Mill en Sint Hubert,,815,2020-02-27
"Nuenen, Gerwen en Nederwetten",,820,2020-02-27
Oirschot,,823,2020-02-27
Oisterwijk,,824,2020-02-27
Oosterhout,,826,2020-02-27
Oss,,828,2020-02-27
Rucphen,,840,2020-02-27
Sint-Michielsgestel,,845,2020-02-27
Someren,,847,2020-02-27
Son en Breugel,,848,2020-02-27
Steenbergen,,851,2020-02-27
Waterland,,852,2020-02-27
Tilburg,1,855,2020-02-27
Uden,,856,2020-02-27
Valkenswaard,,858,2020-02-27
Veldhoven,,861,2020-02-27
Vught,,865,2020-02-27
Waalre,,866,2020-02-27
Waalwijk,,867,2020-02-27
Woensdrecht,,873,2020-02-27
Zundert,,879,2020-02-27
Wormerland,,880,2020-02-27
Landgraaf,,882,2020-02-27
Beek,,888,2020-02-27
Beesel,,889,2020-02-27
Bergen (L),,893,2020-02-27
Brunssum,,899,2020-02-27
Gennep,,907,2020-02-27
Heerlen,,917,2020-02-27
Kerkrade,,928,2020-02-27
Maastricht,,935,2020-02-27
Meerssen,,938,2020-02-27
Mook en Middelaar,,944,2020-02-27
Nederweert,,946,2020-02-27
Roermond,,957,2020-02-27
Simpelveld,,965,2020-02-27
Stein,,971,2020-02-27
Vaals,,981,2020-02-27
Venlo,,983,2020-02-27
Venray,,984,2020-02-27
Voerendaal,,986,2020-02-27
Weert,,988,2020-02-27
Valkenburg aan de Geul,,994,2020-02-27
Lelystad,,995,2020-02-27
Horst aan de Maas,,1507,2020-02-27
Oude IJsselstreek,,1509,2020-02-27
Teylingen,,1525,2020-02-27
Utrechtse Heuvelrug,,1581,2020-02-27
Oost Gelre,,1586,2020-02-27
Koggenland,,1598,2020-02-27
Lansingerland,,1621,2020-02-27
Leudal,,1640,2020-02-27
Maasgouw,,1641,2020-02-27
Gemert-Bakel,,1652,2020-02-27
Halderberge,,1655,2020-02-27
Heeze-Leende,,1658,2020-02-27
Laarbeek,,1659,2020-02-27
Reusel-De Mierden,,1667,2020-02-27
Roerdalen,,1669,2020-02-27
Roosendaal,,1674,2020-02-27
Schouwen-Duiveland,,1676,2020-02-27
Aa en Hunze,,1680,2020-02-27
Borger-Odoorn,,1681,2020-02-27
Cuijk,,1684,2020-02-27
Landerd,,1685,2020-02-27
De Wolden,,1690,2020-02-27
Noord-Beveland,,1695,2020-02-27
Wijdemeren,,1696,2020-02-27
Noordenveld,,1699,2020-02-27
Twenterand,,1700,2020-02-27
Westerveld,,1701,2020-02-27
Sint Anthonis,,1702,2020-02-27
Lingewaard,,1705,2020-02-27
Cranendonck,,1706,2020-02-27
Steenwijkerland,,1708,2020-02-27
Moerdijk,,1709,2020-02-27
Echt-Susteren,,1711,2020-02-27
Sluis,,1714,2020-02-27
Drimmelen,,1719,2020-02-27
Bernheze,,1721,2020-02-27
Alphen-Chaam,,1723,2020-02-27
Bergeijk,,1724,2020-02-27
Bladel,,1728,2020-02-27
Gulpen-Wittem,,1729,2020-02-27
Tynaarlo,,1730,2020-02-27
Midden-Drenthe,,1731,2020-02-27
Overbetuwe,,1734,2020-02-27
Hof van Twente,,1735,2020-02-27
Neder-Betuwe,,1740,2020-02-27
Rijssen-Holten,,1742,2020-02-27
Geldrop-Mierlo,,1771,2020-02-27
Olst-Wijhe,,1773,2020-02-27
Dinkelland,,1774,2020-02-27
Westland,,1783,2020-02-27
Midden-Delfland,,1842,2020-02-27
Berkelland,,1859,2020-02-27
Bronckhorst,,1876,2020-02-27
Sittard-Geleen,,1883,2020-02-27
Kaag en Braassem,,1884,2020-02-27
Dantumadiel,,1891,2020-02-27
Zuidplas,,1892,2020-02-27
Peel en Maas,,1894,2020-02-27
Oldambt,,1895,2020-02-27
Zwartewaterland,,1896,2020-02-27
Súdwest-Fryslân,,1900,2020-02-27
Bodegraven-Reeuwijk,,1901,2020-02-27
Eijsden-Margraten,,1903,2020-02-27
Stichtse Vecht,,1904,2020-02-27
Hollands Kroon,,1911,2020-02-27
Leidschendam-Voorburg,,1916,2020-02-27
Goeree-Overflakkee,,1924,2020-02-27
Pijnacker-Nootdorp,,1926,2020-02-27
Nissewaard,,1930,2020-02-27
Krimpenerwaard,,1931,2020-02-27
De Fryske Marren,,1940,2020-02-27
Gooise Meren,,1942,2020-02-27
Berg en Dal,,1945,2020-02-27
Meierijstad,,1948,2020-02-27
Waadhoeke,,1949,2020-02-27
Westerwolde,,1950,2020-02-27
Midden-Groningen,,1952,2020-02-27
Beekdaelen,,1954,2020-02-27
