Datum,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal
2020-04-18,398,Heerhugowaard,Noord-Holland,27,7
2020-04-18,399,Heiloo,Noord-Holland,27,5
2020-04-18,400,Den Helder,Noord-Holland,27,0
2020-04-18,402,Hilversum,Noord-Holland,27,3
2020-04-18,405,Hoorn,Noord-Holland,27,11
2020-04-18,406,Huizen,Noord-Holland,27,3
2020-04-18,415,Landsmeer,Noord-Holland,27,2
2020-04-18,416,Langedijk,Noord-Holland,27,2
2020-04-18,417,Laren,Noord-Holland,27,1
2020-04-18,420,Medemblik,Noord-Holland,27,6
2020-04-18,431,Oostzaan,Noord-Holland,27,1
2020-04-18,432,Opmeer,Noord-Holland,27,1
2020-04-18,437,Ouder-Amstel,Noord-Holland,27,0
2020-04-18,439,Purmerend,Noord-Holland,27,15
2020-04-18,441,Schagen,Noord-Holland,27,2
2020-04-18,448,Texel,Noord-Holland,27,1
2020-04-18,450,Uitgeest,Noord-Holland,27,1
2020-04-18,451,Uithoorn,Noord-Holland,27,1
2020-04-18,453,Velsen,Noord-Holland,27,23
2020-04-18,457,Weesp,Noord-Holland,27,1
2020-04-18,473,Zandvoort,Noord-Holland,27,6
2020-04-18,479,Zaanstad,Noord-Holland,27,34
2020-04-18,482,Alblasserdam,Zuid-Holland,28,2
2020-04-18,484,Alphen aan den Rijn,Zuid-Holland,28,13
2020-04-18,489,Barendrecht,Zuid-Holland,28,5
2020-04-18,498,Drechterland,Noord-Holland,27,8
2020-04-18,501,Brielle,Zuid-Holland,28,0
2020-04-18,502,Capelle aan den IJssel,Zuid-Holland,28,27
2020-04-18,503,Delft,Zuid-Holland,28,6
2020-04-18,505,Dordrecht,Zuid-Holland,28,16
2020-04-18,512,Gorinchem,Zuid-Holland,28,11
2020-04-18,513,Gouda,Zuid-Holland,28,18
2020-04-18,518,'s-Gravenhage,Zuid-Holland,28,75
2020-04-18,523,Hardinxveld-Giessendam,Zuid-Holland,28,2
2020-04-18,530,Hellevoetsluis,Zuid-Holland,28,1
2020-04-18,531,Hendrik-Ido-Ambacht,Zuid-Holland,28,2
2020-04-18,532,Stede Broec,Noord-Holland,27,4
2020-04-18,534,Hillegom,Zuid-Holland,28,1
2020-04-18,537,Katwijk,Zuid-Holland,28,7
2020-04-18,542,Krimpen aan den IJssel,Zuid-Holland,28,3
2020-04-18,546,Leiden,Zuid-Holland,28,12
2020-04-18,547,Leiderdorp,Zuid-Holland,28,3
2020-04-18,553,Lisse,Zuid-Holland,28,2
2020-04-18,556,Maassluis,Zuid-Holland,28,2
2020-04-18,569,Nieuwkoop,Zuid-Holland,28,4
2020-04-18,575,Noordwijk,Zuid-Holland,28,1
2020-04-18,579,Oegstgeest,Zuid-Holland,28,1
2020-04-18,589,Oudewater,Utrecht,26,7
2020-04-18,590,Papendrecht,Zuid-Holland,28,6
2020-04-18,597,Ridderkerk,Zuid-Holland,28,11
2020-04-18,599,Rotterdam,Zuid-Holland,28,117
2020-04-18,603,Rijswijk,Zuid-Holland,28,4
2020-04-18,606,Schiedam,Zuid-Holland,28,4
2020-04-18,610,Sliedrecht,Zuid-Holland,28,3
2020-04-18,613,Albrandswaard,Zuid-Holland,28,4
2020-04-18,614,Westvoorne,Zuid-Holland,28,0
2020-04-18,622,Vlaardingen,Zuid-Holland,28,13
2020-04-18,626,Voorschoten,Zuid-Holland,28,4
2020-04-18,627,Waddinxveen,Zuid-Holland,28,5
2020-04-18,629,Wassenaar,Zuid-Holland,28,9
2020-04-18,632,Woerden,Utrecht,26,14
2020-04-18,637,Zoetermeer,Zuid-Holland,28,9
2020-04-18,638,Zoeterwoude,Zuid-Holland,28,0
2020-04-18,642,Zwijndrecht,Zuid-Holland,28,5
2020-04-18,654,Borsele,Zeeland,29,0
2020-04-18,664,Goes,Zeeland,29,8
2020-04-18,668,West Maas en Waal,Gelderland,25,5
2020-04-18,677,Hulst,Zeeland,29,4
2020-04-18,678,Kapelle,Zeeland,29,1
2020-04-18,687,Middelburg,Zeeland,29,7
2020-04-18,703,Reimerswaal,Zeeland,29,2
2020-04-18,715,Terneuzen,Zeeland,29,2
2020-04-18,716,Tholen,Zeeland,29,12
2020-04-18,717,Veere,Zeeland,29,1
