Datum,Type,Aantal,AantalCumulatief
2020-04-18,Overleden besmette bewoners,60.0,1579.0
2020-04-19,Positief geteste bewoners,109.0,5507.0
2020-04-19,Overleden besmette bewoners,80.0,1659.0
2020-04-20,Positief geteste bewoners,156.0,5663.0
2020-04-20,Overleden besmette bewoners,47.0,1706.0
2020-04-21,Positief geteste bewoners,165.0,5828.0
2020-04-21,Overleden besmette bewoners,84.0,1790.0
2020-04-22,Positief geteste bewoners,223.0,6051.0
2020-04-22,Overleden besmette bewoners,67.0,1857.0
2020-04-23,Positief geteste bewoners,177.0,6228.0
2020-04-23,Overleden besmette bewoners,62.0,1919.0
2020-04-24,Positief geteste bewoners,144.0,6372.0
2020-04-24,Overleden besmette bewoners,60.0,1979.0
2020-04-25,Positief geteste bewoners,117.0,6489.0
2020-04-25,Overleden besmette bewoners,48.0,2027.0
2020-04-26,Positief geteste bewoners,83.0,6572.0
2020-04-26,Overleden besmette bewoners,50.0,2077.0
2020-04-27,Positief geteste bewoners,44.0,6616.0
2020-04-27,Overleden besmette bewoners,38.0,2115.0
2020-04-28,Positief geteste bewoners,121.0,6737.0
2020-04-28,Overleden besmette bewoners,38.0,2153.0
2020-04-29,Positief geteste bewoners,119.0,6856.0
2020-04-29,Overleden besmette bewoners,42.0,2195.0
2020-04-30,Positief geteste bewoners,111.0,6967.0
2020-04-30,Overleden besmette bewoners,38.0,2233.0
2020-05-01,Positief geteste bewoners,127.0,7094.0
2020-05-01,Overleden besmette bewoners,37.0,2270.0
2020-05-02,Positief geteste bewoners,68.0,7162.0
2020-05-02,Overleden besmette bewoners,37.0,2307.0
2020-05-03,Positief geteste bewoners,38.0,7200.0
2020-05-03,Overleden besmette bewoners,29.0,2336.0
2020-05-04,Positief geteste bewoners,83.0,7283.0
2020-05-04,Overleden besmette bewoners,32.0,2368.0
2020-05-05,Positief geteste bewoners,54.0,7337.0
2020-05-05,Overleden besmette bewoners,23.0,2391.0
2020-05-06,Positief geteste bewoners,70.0,7407.0
2020-05-06,Overleden besmette bewoners,34.0,2425.0
2020-05-07,Positief geteste bewoners,69.0,7476.0
2020-05-07,Overleden besmette bewoners,27.0,2452.0
2020-05-08,Positief geteste bewoners,58.0,7534.0
2020-05-08,Overleden besmette bewoners,22.0,2474.0
2020-05-09,Positief geteste bewoners,62.0,7596.0
2020-05-09,Overleden besmette bewoners,25.0,2499.0
2020-05-10,Positief geteste bewoners,36.0,7632.0
2020-05-10,Overleden besmette bewoners,18.0,2517.0
2020-05-11,Positief geteste bewoners,52.0,7684.0
2020-05-11,Overleden besmette bewoners,19.0,2536.0
2020-05-12,Positief geteste bewoners,58.0,7742.0
2020-05-12,Overleden besmette bewoners,25.0,2561.0
2020-05-13,Positief geteste bewoners,89.0,7831.0
2020-05-13,Overleden besmette bewoners,15.0,2576.0
2020-05-14,Positief geteste bewoners,40.0,7871.0
2020-05-14,Overleden besmette bewoners,16.0,2592.0
2020-05-15,Positief geteste bewoners,42.0,7913.0
2020-05-15,Overleden besmette bewoners,10.0,2602.0
2020-05-16,Positief geteste bewoners,30.0,7943.0
2020-05-16,Overleden besmette bewoners,15.0,2617.0
2020-05-17,Positief geteste bewoners,23.0,7966.0
2020-05-17,Overleden besmette bewoners,12.0,2629.0
2020-05-18,Positief geteste bewoners,28.0,7994.0
2020-05-18,Overleden besmette bewoners,13.0,2642.0
2020-05-19,Positief geteste bewoners,21.0,8015.0
