id,filename,filename_original
RIVM_report_20200514,COVID-19_epidemiological_report_20200514.pdf,COVID-19_WebSite_rapport_20200514_1017.pdf
RIVM_report_20200515,COVID-19_epidemiological_report_20200515.pdf,COVID-19_WebSite_rapport_20200515_ 1021.pdf
RIVM_report_20200516,COVID-19_epidemiological_report_20200516.pdf,COVID-19_WebSite_rapport_20200516_1014.pdf
RIVM_report_20200517,COVID-19_epidemiological_report_20200517.pdf,Epidemiologische situatie COVID-19 in Nederland 17 mei 2020.pdf
RIVM_report_20200518,COVID-19_epidemiological_report_20200518.pdf,COVID-19_WebSite_rapport_20200518_1121_0.pdf
RIVM_report_20200519,COVID-19_epidemiological_report_20200519.pdf,COVID-19_WebSite_rapport_20200519_1015_0.pdf
RIVM_report_20200520,COVID-19_epidemiological_report_20200520.pdf,COVID-19_WebSite_rapport_20200520_1022.pdf
RIVM_report_20200521,COVID-19_epidemiological_report_20200521.pdf,COVID-19_WebSite_rapport_20200521_1152.pdf
RIVM_report_20200522,COVID-19_epidemiological_report_20200522.pdf,COVID-19_WebSite_rapport_20200522_1041.pdf
RIVM_report_20200523,COVID-19_epidemiological_report_20200523.pdf,COVID-19_WebSite_rapport_20200523_1017.pdf
RIVM_report_20200524,COVID-19_epidemiological_report_20200524.pdf,Epidemiologische situatie COVID-19 in Nederland 24 mei 2020.pdf
RIVM_report_20200525,COVID-19_epidemiological_report_20200525.pdf,COVID-19_WebSite_rapport_20200525_1017.pdf
RIVM_report_20200526,COVID-19_epidemiological_report_20200526.pdf,COVID-19_WebSite_rapport_20200526_1022.pdf
RIVM_report_20200527,COVID-19_epidemiological_report_20200527.pdf,COVID-19_WebSite_rapport_20200527_1021.pdf
RIVM_report_20200528,COVID-19_epidemiological_report_20200528.pdf,COVID-19_WebSite_rapport_20200528_1116.pdf
RIVM_report_20200529,COVID-19_epidemiological_report_20200529.pdf,COVID-19_WebSite_rapport_dagelijks20200529_1044.pdf
RIVM_report_20200530,COVID-19_epidemiological_report_20200530.pdf,COVID-19_WebSite_rapport_dagelijks20200530_1021.pdf
RIVM_report_20200531,COVID-19_epidemiological_report_20200531.pdf,31-5-2020 COVID-19_WebSite_rapport.pdf
RIVM_report_20200601,COVID-19_epidemiological_report_20200601.pdf,COVID-19_WebSite_rapport_dagelijks20200601_1036_2.pdf
RIVM_report_20200602,COVID-19_epidemiological_report_20200602.pdf,COVID-19_WebSite_rapport_20200602_1024.pdf
RIVM_report_20200603,COVID-19_epidemiological_report_20200603.pdf,COVID-19_WebSite_rapport_dagelijks20200603_1034.pdf
RIVM_report_20200604,COVID-19_epidemiological_report_20200604.pdf,COVID-19_WebSite_rapport_dagelijks20200604_1141.pdf
RIVM_report_20200605,COVID-19_epidemiological_report_20200605.pdf,COVID-19_WebSite_rapport_dagelijks20200605_1128.pdf
RIVM_report_20200606,COVID-19_epidemiological_report_20200606.pdf,COVID-19_WebSite_rapport_dagelijks20200606_1025.pdf
RIVM_report_20200607,COVID-19_epidemiological_report_20200607.pdf,Epidemiologische situatie COVID-19 in Nederland 7 juni 2020.pdf
RIVM_report_20200608,COVID-19_epidemiological_report_20200608.pdf,COVID-19_WebSite_rapport_dagelijks20200608_1021.pdf
RIVM_report_20200609,COVID-19_epidemiological_report_20200609.pdf,COVID-19_WebSite_rapport_dagelijks20200609_1227.pdf
RIVM_report_20200610,COVID-19_epidemiological_report_20200610.pdf,COVID-19_WebSite_rapport_dagelijks20200610_1033.pdf
RIVM_report_20200611,COVID-19_epidemiological_report_20200611.pdf,COVID-19_WebSite_rapport_dagelijks20200611_1029.pdf
RIVM_report_20200612,COVID-19_epidemiological_report_20200612.pdf,COVID-19_WebSite_rapport_dagelijks20200612_1036.pdf
RIVM_report_20200613,COVID-19_epidemiological_report_20200613.pdf,COVID-19_WebSite_rapport_dagelijks20200613_1026.pdf
RIVM_report_20200614,COVID-19_epidemiological_report_20200614.pdf,20200614_COVID19_WebSite_rapport_dagelijks.pdf
RIVM_report_20200615,COVID-19_epidemiological_report_20200615.pdf,COVID-19_WebSite_rapport_dagelijks20200615_1025_0.pdf
RIVM_report_20200616,COVID-19_epidemiological_report_20200616.pdf,COVID-19_WebSite_rapport_dagelijks_20200616_1153.pdf
RIVM_report_20200617,COVID-19_epidemiological_report_20200617.pdf,COVID-19_WebSite_rapport_dagelijks_20200617_1031.pdf
RIVM_report_20200618,COVID-19_epidemiological_report_20200618.pdf,COVID-19_WebSite_rapport_dagelijks_20200618_1038.pdf
RIVM_report_20200619,COVID-19_epidemiological_report_20200619.pdf,COVID-19_WebSite_rapport_dagelijks_20200619_1034.pdf
RIVM_report_20200620,COVID-19_epidemiological_report_20200620.pdf,COVID-19_WebSite_rapport_dagelijks_20200620_1025_0.pdf
RIVM_report_20200621,COVID-19_epidemiological_report_20200621.pdf,COVID-19_WebSite_rapport_dagelijks_20200621_1029.pdf
RIVM_report_20200622,COVID-19_epidemiological_report_20200622.pdf,COVID-19_WebSite_rapport_dagelijks_20200622_1029.pdf
RIVM_report_20200623,COVID-19_epidemiological_report_20200623.pdf,COVID-19_WebSite_rapport_dagelijks_20200623_1039.pdf
RIVM_report_20200624,COVID-19_epidemiological_report_20200624.pdf,COVID-19_WebSite_rapport_dagelijks_20200624_1123.pdf
RIVM_report_20200625,COVID-19_epidemiological_report_20200625.pdf,COVID-19_WebSite_rapport_dagelijks_20200625_1024.pdf
RIVM_report_20200626,COVID-19_epidemiological_report_20200626.pdf,COVID-19_WebSite_rapport_dagelijks_20200626_1027.pdf
RIVM_report_20200627,COVID-19_epidemiological_report_20200627.pdf,COVID-19_WebSite_rapport_dagelijks_20200627_1036.pdf
RIVM_report_20200628,COVID-19_epidemiological_report_20200628.pdf,COVID-19_WebSite_rapport_dagelijks_20200628_1022.pdf
RIVM_report_20200629,COVID-19_epidemiological_report_20200629.pdf,COVID-19_WebSite_rapport_dagelijks_20200629_1022.pdf
RIVM_report_20200630,COVID-19_epidemiological_report_20200630.pdf,COVID-19_WebSite_rapport_dagelijks_20200630_1031.pdf
RIVM_report_20200707,COVID-19_epidemiological_report_20200707.pdf,COVID-19_WebSite_rapport_wekelijks_20200707_1251.pdf
RIVM_report_20200714,COVID-19_epidemiological_report_20200714.pdf,COVID-19_WebSite_rapport_wekelijks_20200714_1040.pdf
RIVM_report_20200721,COVID-19_epidemiological_report_20200721.pdf,COVID-19_WebSite_rapport_wekelijks_20200721_1135.pdf
RIVM_report_20200728,COVID-19_epidemiological_report_20200728.pdf,COVID-19_WebSite_rapport_dagelijks_20200728_1152.pdf
RIVM_report_20200804,COVID-19_epidemiological_report_20200804.pdf,COVID-19_WebSite_rapport_wekelijks_20200804_1306.pdf
RIVM_report_20200811,COVID-19_epidemiological_report_20200811.pdf,COVID-19_WebSite_rapport_wekelijks_20200811_1158_0
RIVM_report_20200818,COVID-19_epidemiological_report_20200818.pdf,COVID-19_WebSite_rapport_wekelijks_20200818_1224_1.pdf
RIVM_report_20200825,COVID-19_epidemiological_report_20200825.pdf,COVID-19_WebSite_rapport_wekelijks_20200825_1217_0.pdf
RIVM_report_20200901,COVID-19_epidemiological_report_20200901.pdf,COVID-19_WebSite_rapport_wekelijks_20200901_1353_0.pdf
RIVM_report_20200908,COVID-19_epidemiological_report_20200908.pdf,COVID-19_WebSite_rapport_wekelijks_20200908_1159_0.pdf
