report_date,date,province,value
2020-04-30,2020-03-15,Zuid-Holland,23
2020-04-30,2020-03-16,Zuid-Holland,39
2020-04-30,2020-03-17,Zuid-Holland,54
2020-04-30,2020-03-18,Zuid-Holland,71
2020-04-30,2020-03-19,Zuid-Holland,74
2020-04-30,2020-03-20,Zuid-Holland,103
2020-04-30,2020-03-21,Zuid-Holland,98
2020-04-30,2020-03-22,Zuid-Holland,60
2020-04-30,2020-03-23,Zuid-Holland,100
2020-04-30,2020-03-24,Zuid-Holland,125
2020-04-30,2020-03-25,Zuid-Holland,192
2020-04-30,2020-03-26,Zuid-Holland,205
2020-04-30,2020-03-27,Zuid-Holland,248
2020-04-30,2020-03-28,Zuid-Holland,155
2020-04-30,2020-03-29,Zuid-Holland,116
2020-04-30,2020-03-30,Zuid-Holland,173
2020-04-30,2020-03-31,Zuid-Holland,227
2020-04-30,2020-04-01,Zuid-Holland,237
2020-04-30,2020-04-02,Zuid-Holland,188
2020-04-30,2020-04-03,Zuid-Holland,280
2020-04-30,2020-04-04,Zuid-Holland,245
2020-04-30,2020-04-05,Zuid-Holland,215
2020-04-30,2020-04-06,Zuid-Holland,153
2020-04-30,2020-04-07,Zuid-Holland,280
2020-04-30,2020-04-08,Zuid-Holland,359
2020-04-30,2020-04-09,Zuid-Holland,276
2020-04-30,2020-04-10,Zuid-Holland,325
2020-04-30,2020-04-11,Zuid-Holland,219
2020-04-30,2020-04-12,Zuid-Holland,179
2020-04-30,2020-04-13,Zuid-Holland,153
2020-04-30,2020-04-14,Zuid-Holland,193
2020-04-30,2020-04-15,Zuid-Holland,290
2020-04-30,2020-04-16,Zuid-Holland,248
2020-04-30,2020-04-17,Zuid-Holland,310
2020-04-30,2020-04-18,Zuid-Holland,224
2020-04-30,2020-04-19,Zuid-Holland,162
2020-04-30,2020-04-20,Zuid-Holland,122
2020-04-30,2020-04-21,Zuid-Holland,159
2020-04-30,2020-04-22,Zuid-Holland,249
2020-04-30,2020-04-23,Zuid-Holland,202
2020-04-30,2020-04-24,Zuid-Holland,157
2020-04-30,2020-04-25,Zuid-Holland,129
2020-04-30,2020-04-26,Zuid-Holland,112
2020-04-30,2020-04-27,Zuid-Holland,16
2020-04-30,2020-04-28,Zuid-Holland,95
2020-04-30,2020-04-29,Zuid-Holland,103
2020-04-30,2020-04-30,Zuid-Holland,27
2020-04-30,2020-02-27,Zeeland,0
2020-04-30,2020-02-28,Zeeland,0
2020-04-30,2020-02-29,Zeeland,0
2020-04-30,2020-03-01,Zeeland,0
2020-04-30,2020-03-02,Zeeland,0
2020-04-30,2020-03-03,Zeeland,0
2020-04-30,2020-03-04,Zeeland,0
2020-04-30,2020-03-05,Zeeland,1
2020-04-30,2020-03-06,Zeeland,0
2020-04-30,2020-03-07,Zeeland,0
2020-04-30,2020-03-08,Zeeland,0
2020-04-30,2020-03-09,Zeeland,3
2020-04-30,2020-03-10,Zeeland,3
2020-04-30,2020-03-11,Zeeland,2
2020-04-30,2020-03-12,Zeeland,0
2020-04-30,2020-03-13,Zeeland,4
2020-04-30,2020-03-14,Zeeland,4
2020-04-30,2020-03-15,Zeeland,2
2020-04-30,2020-03-16,Zeeland,4
2020-04-30,2020-03-17,Zeeland,4
2020-04-30,2020-03-18,Zeeland,8
2020-04-30,2020-03-19,Zeeland,4
2020-04-30,2020-03-20,Zeeland,16
2020-04-30,2020-03-21,Zeeland,1
2020-04-30,2020-03-22,Zeeland,8
2020-04-30,2020-03-23,Zeeland,5
2020-04-30,2020-03-24,Zeeland,12
2020-04-30,2020-03-25,Zeeland,19
2020-04-30,2020-03-26,Zeeland,24
2020-04-30,2020-03-27,Zeeland,7
2020-04-30,2020-03-28,Zeeland,13
2020-04-30,2020-03-29,Zeeland,19
2020-04-30,2020-03-30,Zeeland,11
2020-04-30,2020-03-31,Zeeland,23
2020-04-30,2020-04-01,Zeeland,18
2020-04-30,2020-04-02,Zeeland,24
2020-04-30,2020-04-03,Zeeland,11
2020-04-30,2020-04-04,Zeeland,35
2020-04-30,2020-04-05,Zeeland,31
2020-04-30,2020-04-06,Zeeland,9
2020-04-30,2020-04-07,Zeeland,25
2020-04-30,2020-04-08,Zeeland,30
2020-04-30,2020-04-09,Zeeland,31
2020-04-30,2020-04-10,Zeeland,13
2020-04-30,2020-04-11,Zeeland,19
2020-04-30,2020-04-12,Zeeland,29
2020-04-30,2020-04-13,Zeeland,8
2020-04-30,2020-04-14,Zeeland,5
2020-04-30,2020-04-15,Zeeland,6
2020-04-30,2020-04-16,Zeeland,13
2020-04-30,2020-04-17,Zeeland,10
2020-04-30,2020-04-18,Zeeland,16
2020-04-30,2020-04-19,Zeeland,4
2020-04-30,2020-04-20,Zeeland,4
2020-04-30,2020-04-21,Zeeland,8
2020-04-30,2020-04-22,Zeeland,15
2020-04-30,2020-04-23,Zeeland,3
2020-04-30,2020-04-24,Zeeland,2
2020-04-30,2020-04-25,Zeeland,4
2020-04-30,2020-04-26,Zeeland,2
2020-04-30,2020-04-27,Zeeland,4
2020-04-30,2020-04-28,Zeeland,3
2020-04-30,2020-04-29,Zeeland,1
2020-04-30,2020-04-30,Zeeland,0
2020-04-30,2020-02-27,Friesland,0
2020-04-30,2020-02-28,Friesland,0
2020-04-30,2020-02-29,Friesland,0
2020-04-30,2020-03-01,Friesland,0
2020-04-30,2020-03-02,Friesland,0
2020-04-30,2020-03-03,Friesland,0
2020-04-30,2020-03-04,Friesland,0
2020-04-30,2020-03-05,Friesland,0
2020-04-30,2020-03-06,Friesland,0
2020-04-30,2020-03-07,Friesland,0
2020-04-30,2020-03-08,Friesland,0
2020-04-30,2020-03-09,Friesland,2
2020-04-30,2020-03-10,Friesland,1
2020-04-30,2020-03-11,Friesland,4
2020-04-30,2020-03-12,Friesland,1
2020-04-30,2020-03-13,Friesland,2
2020-04-30,2020-03-14,Friesland,1
2020-04-30,2020-03-15,Friesland,3
2020-04-30,2020-03-16,Friesland,3
2020-04-30,2020-03-17,Friesland,3
2020-04-30,2020-03-18,Friesland,3
2020-04-30,2020-03-19,Friesland,6
2020-04-30,2020-03-20,Friesland,5
2020-04-30,2020-03-21,Friesland,1
2020-04-30,2020-03-22,Friesland,5
2020-04-30,2020-03-23,Friesland,2
2020-04-30,2020-03-24,Friesland,10
2020-04-30,2020-03-25,Friesland,18
2020-04-30,2020-03-26,Friesland,15
2020-04-30,2020-03-27,Friesland,14
2020-04-30,2020-03-28,Friesland,22
2020-04-30,2020-03-29,Friesland,4
